PID,Tag,Group ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,ALT_1,ALT_2,ALT_3,ALT_4,ALT_5,ALT_6,ALT_7,ALT_8,ALT_9,ALT_10,ALT_11,ALT_12,ALT_13,ALT_14,ALT_15,ALT_16,ALT_17,ALT_18,ALT_19,ALT_20,ALT_21,ALT_22,ALT_23,ALT_24
40,HoVi,Baseline Only,15,16,21,15,19,22,3,22,11,,,,,,,,,,24,13,5,33,2,10,0,0,0,0,0,1,12,0,0,,,,,,,,,,0,1,1,0,3,0
21,AnNi,No Baseline,,,,,,,,,,1,1,1,1,5,3,0,0,0,4,3,4,3,6,5,,,,,,,,,,0,3,8,9,6,4,40,42,43,7,4,10,6,6,7
22,DeMu,No Baseline,,,,,,,,,,14,20,0,0,0,0,0,0,0,5,8,6,0,3,4,,,,,,,,,,0,34,43,39,39,26,41,45,43,12,6,0,5,5,5
23,FeAr,No Baseline,,,,,,,,,,1,0,0,6,0,0,0,0,0,0,2,3,14,16,31,,,,,,,,,,22,54,46,37,40,60,47,50,50,33,13,20,10,12,0
24,FeGa,No Baseline,,,,,,,,,,1,0,1,0,0,0,0,0,0,10,8,10,4,10,13,,,,,,,,,,47,53,45,58,62,57,58,56,59,11,10,10,10,7,9
25,JoPa,No Baseline,,,,,,,,,,0,1,0,0,0,0,0,2,0,2,4,8,8,6,8,,,,,,,,,,0,2,1,2,18,19,29,17,21,7,9,3,9,11,15
26,KeOs,No Baseline,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,,,,,,,,,,3,17,53,52,50,54,53,50,56,29,12,18,7,1,2
27,MaMa,No Baseline,,,,,,,,,,7,0,0,0,0,0,0,0,2,11,8,7,11,2,2,,,,,,,,,,45,65,66,66,69,61,57,59,39,29,38,10,17,48,39
28,MaNa,No Baseline,,,,,,,,,,6,0,0,0,0,0,0,0,0,8,6,7,13,0,0,,,,,,,,,,15,45,53,59,61,59,52,56,54,21,12,15,7,6,11
29,TySm,No Baseline,,,,,,,,,,3,2,1,0,0,0,0,0,0,5,10,9,10,5,7,,,,,,,,,,0,32,43,58,63,59,60,61,61,22,11,4,9,4,10
30,NiBu,No Baseline,,,,,,,,,,1,1,1,1,8,0,0,0,0,1,5,2,0,11,0,,,,,,,,,,5,0,3,8,2,8,27,18,17,21,12,16,12,1,10
