ID,Group,Phase,Response,Time,Angle,Base Angle,Angle Diff
AdMe,Group Long,A,01, 100787, 43,49,-6
AdMe,Group Long,A,01, 101770, 41,49,-8
AdMe,Group Long,A,01, 102104, 42,49,-7
AdMe,Group Long,A,01, 103070, 36,49,-13
AdMe,Group Long,A,01, 103420, 39,49,-10
AdMe,Group Long,A,01, 104369, 45,49,-4
AdMe,Group Long,A,01, 104720, 40,49,-9
AdMe,Group Long,A,01, 105686, 35,49,-14
AdMe,Group Long,A,01, 106053, 42,49,-7
AdMe,Group Long,A,01, 107020, 41,49,-8
AdMe,Group Long,A,01, 107371, 38,49,-11
AdMe,Group Long,A,01, 108321, 41,49,-8
AdMe,Group Long,A,01, 108687, 39,49,-10
AdMe,Group Long,A,01, 109637, 44,49,-5
AdMe,Group Long,A,01, 109988, 37,49,-12
AdMe,Group Long,A,01, 110954, 36,49,-13
AdMe,Group Long,A,01, 111304, 40,49,-9
AdMe,Group Long,A,01, 112254, 42,49,-7
AdMe,Group Long,A,01, 112605, 38,49,-11
AdMe,Group Long,A,01, 113537, 41,49,-8
AdMe,Group Long,A,01, 113871, 44,49,-5
AdMe,Group Long,A,01, 114820, 42,49,-7
AdMe,Group Long,A,01, 115153, 44,49,-5
AdMe,Group Long,A,01, 116137, 37,49,-12
AdMe,Group Long,A,01, 116470, 46,49,-3
AdMe,Group Long,A,01, 117420, 39,49,-10
AdMe,Group Long,A,01, 117754, 39,49,-10
AdMe,Group Long,A,01, 118720, 41,49,-8
AdMe,Group Long,A,01, 119054, 41,49,-8
AdMe,Group Long,A,01, 120037, 40,49,-9
AdMe,Group Long,A,01, 120371, 44,49,-5
AdMe,Group Long,A,01, 121371, 41,49,-8
AdMe,Group Long,A,01, 121722, 40,49,-9
AdMe,Group Long,A,01, 122705, 42,49,-7
AdMe,Group Long,A,01, 123038, 38,49,-11
AdMe,Group Long,A,01, 123971, 36,49,-13
AdMe,Group Long,A,01, 124322, 45,49,-4
AdMe,Group Long,A,01, 125288, 48,49,-1
AdMe,Group Long,A,01, 125655, 43,49,-6
AdMe,Group Long,A,01, 126555, 42,49,-7
AdMe,Group Long,A,01, 126922, 42,49,-7
AdMe,Group Long,A,01, 127805, 39,49,-10
AdMe,Group Long,A,01, 128172, 39,49,-10
AdMe,Group Long,A,01, 129105, 44,49,-5
AdMe,Group Long,A,01, 129438, 43,49,-6
AdMe,Group Long,A,01, 130405, 37,49,-12
AdMe,Group Long,A,01, 130772, 48,49,-1
AdMe,Group Long,A,01, 131839, 46,49,-3
AdMe,Group Long,A,01, 132189, 50,49,1
AdMe,Group Long,A,01, 133139, 48,49,-1
AdMe,Group Long,A,01, 133489, 43,49,-6
AdMe,Group Long,A,01, 134489, 40,49,-9
AdMe,Group Long,A,01, 134822, 51,49,2
AdMe,Group Long,A,01, 135822, 42,49,-7
AdMe,Group Long,A,01, 136156, 42,49,-7
AdMe,Group Long,A,01, 137072, 45,49,-4
AdMe,Group Long,A,01, 137439, 44,49,-5
AdMe,Group Long,A,01, 138372, 45,49,-4
AdMe,Group Long,A,01, 138722, 48,49,-1
AdMe,Group Long,A,01, 139672, 43,49,-6
AdMe,Group Long,A,01, 140006, 42,49,-7
AdMe,Group Long,A,01, 140956, 42,49,-7
AdMe,Group Long,A,01, 141306, 39,49,-10
AdMe,Group Long,A,01, 142272, 41,49,-8
AdMe,Group Long,A,01, 142639, 38,49,-11
AdMe,Group Long,A,01, 143639, 43,49,-6
AdMe,Group Long,A,01, 143991, 41,49,-8
AdMe,Group Long,A,01, 144973, 42,49,-7
AdMe,Group Long,A,01, 145307, 45,49,-4
AdMe,Group Long,A,01, 146323, 44,49,-5
AdMe,Group Long,A,01, 146657, 41,49,-8
AdMe,Group Long,A,01, 147623, 46,49,-3
AdMe,Group Long,A,01, 147973, 45,49,-4
AdMe,Group Long,A,01, 148973, 43,49,-6
AdMe,Group Long,A,01, 149306, 47,49,-2
AdMe,Group Long,A,01, 150223, 38,49,-11
AdMe,Group Long,A,01, 150573, 38,49,-11
AdMe,Group Long,A,01, 151540, 31,49,-18
AdMe,Group Long,A,01, 151856, 39,49,-10
AdMe,Group Long,A,01, 152790, 41,49,-8
AdMe,Group Long,A,01, 153140, 41,49,-8
AdMe,Group Long,A,01, 154073, 38,49,-11
AdMe,Group Long,A,01, 154407, 41,49,-8
AdMe,Group Long,A,01, 155340, 38,49,-11
AdMe,Group Long,A,01, 155673, 36,49,-13
AdMe,Group Long,A,01, 156573, 38,49,-11
AdMe,Group Long,A,01, 156923, 40,49,-9
AdMe,Group Long,A,01, 157890, 45,49,-4
AdMe,Group Long,A,01, 158223, 48,49,-1
AdMe,Group Long,A,01, 159223, 45,49,-4
AdMe,Group Long,A,01, 159540, 44,49,-5
AdMe,Group Long,A,01, 160541, 45,49,-4
AdMe,Group Long,A,01, 160873, 43,49,-6
AdMe,Group Long,A,01, 161857, 46,49,-3
AdMe,Group Long,A,01, 162174, 50,49,1
AdMe,Group Long,A,01, 163140, 40,49,-9
AdMe,Group Long,A,01, 163457, 41,49,-8
AdMe,Group Long,A,01, 164374, 40,49,-9
AdMe,Group Long,A,01, 164690, 43,49,-6
AdMe,Group Long,A,01, 165624, 38,49,-11
AdMe,Group Long,A,01, 165940, 43,49,-6
AdMe,Group Long,A,01, 166840, 41,49,-8
AdMe,Group Long,A,01, 167157, 45,49,-4
AdMe,Group Long,A,01, 168074, 40,49,-9
AdMe,Group Long,A,01, 168391, 44,49,-5
AdMe,Group Long,A,01, 169324, 39,49,-10
AdMe,Group Long,A,01, 169641, 44,49,-5
AdMe,Group Long,A,01, 170574, 41,49,-8
AdMe,Group Long,A,01, 170907, 41,49,-8
AdMe,Group Long,A,01, 171807, 38,49,-11
AdMe,Group Long,A,01, 172124, 44,49,-5
AdMe,Group Long,A,01, 173091, 39,49,-10
AdMe,Group Long,A,01, 173425, 39,49,-10
AdMe,Group Long,A,01, 174341, 42,49,-7
AdMe,Group Long,A,01, 174674, 42,49,-7
AdMe,Group Long,A,01, 175624, 42,49,-7
AdMe,Group Long,A,01, 175941, 38,49,-11
AdMe,Group Long,A,01, 176909, 49,49,0
AdMe,Group Long,A,01, 177241, 41,49,-8
AdMe,Group Long,A,01, 178158, 44,49,-5
AdMe,Group Long,A,01, 178474, 44,49,-5
AdMe,Group Long,A,01, 179408, 39,49,-10
AdMe,Group Long,A,01, 179708, 36,49,-13
AdMe,Group Long,A,01, 180641, 43,49,-6
AdMe,Group Long,A,01, 180958, 43,49,-6
AdMe,Group Long,A,01, 181908, 43,49,-6
AdMe,Group Long,A,01, 182226, 39,49,-10
AdMe,Group Long,A,01, 183158, 36,49,-13
AdMe,Group Long,A,01, 183458, 39,49,-10
AdMe,Group Long,A,01, 184375, 36,49,-13
AdMe,Group Long,A,01, 184692, 43,49,-6
AdMe,Group Long,A,01, 185625, 38,49,-11
AdMe,Group Long,A,01, 185942, 41,49,-8
AdMe,Group Long,A,01, 186892, 36,49,-13
AdMe,Group Long,A,01, 187226, 42,49,-7
AdMe,Group Long,A,01, 188175, 35,49,-14
AdMe,Group Long,A,01, 188492, 39,49,-10
AdMe,Group Long,A,01, 189458, 37,49,-12
AdMe,Group Long,A,01, 189759, 40,49,-9
AdMe,Group Long,A,01, 190709, 36,49,-13
AdMe,Group Long,A,01, 190992, 40,49,-9
AdMe,Group Long,A,01, 191975, 34,49,-15
AdMe,Group Long,A,01, 192275, 37,49,-12
AdMe,Group Long,A,01, 193175, 34,49,-15
AdMe,Group Long,A,01, 193477, 36,49,-13
AdMe,Group Long,A,01, 194409, 32,49,-17
AdMe,Group Long,A,01, 194726, 36,49,-13
AdMe,Group Long,A,01, 195642, 36,49,-13
AdMe,Group Long,A,01, 195942, 34,49,-15
AdMe,Group Long,A,01, 196875, 37,49,-12
AdMe,Group Long,A,01, 197175, 40,49,-9
AdMe,Group Long,A,01, 198141, 40,49,-9
AdMe,Group Long,A,01, 198441, 39,49,-10
AdMe,Group Long,A,01, 199374, 37,49,-12
AdMe,Group Long,A,01, 199692, 37,49,-12
AdMe,Group Long,A,01, 200592, 38,49,-11
AdMe,Group Long,A,01, 200877, 37,49,-12
AdMe,Group Long,A,01, 201792, 40,49,-9
AdMe,Group Long,A,01, 202126, 29,49,-20
AdMe,Group Long,A,01, 203042, 34,49,-15
AdMe,Group Long,A,01, 203342, 41,49,-8
AdMe,Group Long,A,01, 204225, 34,49,-15
AdMe,Group Long,A,01, 204542, 37,49,-12
AdMe,Group Long,A,01, 205376, 33,49,-16
AdMe,Group Long,A,01, 205676, 38,49,-11
AdMe,Group Long,A,01, 206509, 37,49,-12
AdMe,Group Long,A,01, 206826, 34,49,-15
AdMe,Group Long,A,01, 207659, 36,49,-13
AdMe,Group Long,A,01, 207976, 36,49,-13
